Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
Kenya,Zimbabwe,Zimbabwe,110 runs,Windhoek,"Nov 30, 2023",T20I # 2376
Rwanda,Uganda,Uganda,9 wickets,Windhoek,"Nov 30, 2023",T20I # 2377
Kenya,Uganda,Uganda,33 runs,Windhoek,"Nov 29, 2023",T20I # 2375
Nigeria,Zimbabwe,Zimbabwe,6 wickets,Windhoek,"Nov 29, 2023",T20I # 2373
Rwanda,Tanzania,Tanzania,51 runs,Windhoek,"Nov 29, 2023",T20I # 2374
India,Australia,Australia,5 wickets,Guwahati,"Nov 28, 2023",T20I # 2372
Namibia,Tanzania,Namibia,58 runs,Windhoek,"Nov 28, 2023",T20I # 2371
Namibia,Kenya,Namibia,6 wickets,Windhoek,"Nov 27, 2023",T20I # 2368
Rwanda,Zimbabwe,Zimbabwe,144 runs,Windhoek,"Nov 27, 2023",T20I # 2369
Nigeria,Uganda,Uganda,9 wickets,Windhoek,"Nov 27, 2023",T20I # 2370
India,Australia,India,44 runs,Thiruvananthapuram,"Nov 26, 2023",T20I # 2367
Nigeria,Tanzania,Nigeria,3 wickets,Windhoek,"Nov 26, 2023",T20I # 2366
Uganda,Zimbabwe,Uganda,5 wickets,Windhoek,"Nov 26, 2023",T20I # 2365
Namibia,Rwanda,Namibia,68 runs,Windhoek,"Nov 25, 2023",T20I # 2364
Kenya,Tanzania,Kenya,50 runs,Windhoek,"Nov 25, 2023",T20I # 2363
Namibia,Uganda,Namibia,6 wickets,Windhoek,"Nov 24, 2023",T20I # 2362
Nigeria,Rwanda,no result,-,Windhoek,"Nov 24, 2023",T20I # 2361
India,Australia,India,2 wickets,Visakhapatnam,"Nov 23, 2023",T20I # 2360
Tanzania,Zimbabwe,Zimbabwe,9 wickets,Windhoek,"Nov 23, 2023",T20I # 2359
Kenya,Nigeria,Kenya,4 wickets,Windhoek,"Nov 23, 2023",T20I # 2358
Indonesia,Cambodia,Indonesia,-,Bali,"Nov 23, 2023",T20I # 2357
Namibia,Zimbabwe,Namibia,7 wickets,Windhoek,"Nov 22, 2023",T20I # 2356
Kenya,Rwanda,Kenya,17 runs,Windhoek,"Nov 22, 2023",T20I # 2354
Tanzania,Uganda,Uganda,8 wickets,Windhoek,"Nov 22, 2023",T20I # 2355
Indonesia,Cambodia,Cambodia,7 wickets,Bali,"Nov 22, 2023",T20I # 2353
Indonesia,Cambodia,Indonesia,104 runs,Bali,"Nov 21, 2023",T20I # 2352
Indonesia,Cambodia,Cambodia,8 wickets,Bali,"Nov 21, 2023",T20I # 2351
Indonesia,Cambodia,Indonesia,8 wickets,Bali,"Nov 20, 2023",T20I # 2350
Indonesia,Cambodia,Indonesia,7 wickets,Bali,"Nov 20, 2023",T20I # 2349
Nepal,Oman,tied,-,Kirtipur,"Nov 5, 2023",T20I # 2348
Bahrain,Oman,Oman,10 wickets,Kirtipur,"Nov 3, 2023",T20I # 2346
Nepal,U.A.E.,Nepal,8 wickets,Mulpani,"Nov 3, 2023",T20I # 2347
Malaysia,Singapore,Malaysia,60 runs,Kirtipur,"Nov 2, 2023",T20I # 2344
Bahrain,Kuwait,Kuwait,4 wickets,Mulpani,"Nov 2, 2023",T20I # 2345
Nepal,Oman,Oman,5 runs,Kirtipur,"Nov 2, 2023",T20I # 2342
Hong Kong,U.A.E.,U.A.E.,22 runs,Mulpani,"Nov 2, 2023",T20I # 2343
Nepal,Malaysia,Nepal,6 wickets,Kirtipur,"Oct 31, 2023",T20I # 2340
Kuwait,U.A.E.,U.A.E.,5 wickets,Mulpani,"Oct 31, 2023",T20I # 2341
Oman,Singapore,Oman,22 runs,Kirtipur,"Oct 31, 2023",T20I # 2338
Bahrain,Hong Kong,Bahrain,20 runs,Mulpani,"Oct 31, 2023",T20I # 2339
Namibia,Zimbabwe,Namibia,8 runs,Windhoek,"Oct 30, 2023",T20I # 2337
Malaysia,Oman,Oman,32 runs,Kirtipur,"Oct 30, 2023",T20I # 2335
Hong Kong,Kuwait,Hong Kong,16 runs,Mulpani,"Oct 30, 2023",T20I # 2336
Bahrain,U.A.E.,U.A.E.,5 wickets,Mulpani,"Oct 30, 2023",T20I # 2333
Nepal,Singapore,Nepal,8 wickets,Kirtipur,"Oct 30, 2023",T20I # 2334
Namibia,Zimbabwe,Namibia,7 wickets,Windhoek,"Oct 29, 2023",T20I # 2332
Namibia,Zimbabwe,Zimbabwe,6 wickets,Windhoek,"Oct 27, 2023",T20I # 2331
Nepal,U.A.E.,U.A.E.,4 wickets,Kirtipur,"Oct 27, 2023",T20I # 2330
Hong Kong,U.A.E.,Hong Kong,69 runs,Mulpani,"Oct 25, 2023",T20I # 2328
Namibia,Zimbabwe,Zimbabwe,5 wickets,Windhoek,"Oct 25, 2023",T20I # 2329
Namibia,Zimbabwe,Namibia,7 wickets,Windhoek,"Oct 24, 2023",T20I # 2327
Nepal,U.A.E.,Nepal,5 wickets,Mulpani,"Oct 23, 2023",T20I # 2326
Hong Kong,U.A.E.,U.A.E.,6 wickets,Mulpani,"Oct 22, 2023",T20I # 2325
Nepal,Hong Kong,Nepal,79 runs,Mulpani,"Oct 21, 2023",T20I # 2324
Argentina,Chile,Argentina,10 wickets,Buenos Aires,"Oct 20, 2023",T20I # 2323
Argentina,Mexico,Argentina,4 wickets,Buenos Aires,"Oct 19, 2023",T20I # 2322
Nepal,Hong Kong,Nepal,6 wickets,Mulpani,"Oct 19, 2023",T20I # 2321
Chile,Mexico,Mexico,5 wickets,Buenos Aires,"Oct 18, 2023",T20I # 2320
Nepal,U.A.E.,Nepal,7 wickets,Mulpani,"Oct 18, 2023",T20I # 2319
Nigeria,Rwanda,Nigeria,17 runs,Lagos,"Oct 15, 2023",T20I # 2318
Gibraltar,Luxembourg,Luxembourg,11 runs,Gibraltar,"Oct 15, 2023",T20I # 2317
Ghana,Sierra Leone,Sierra Leone,6 wickets,Lagos,"Oct 15, 2023",T20I # 2316
Gibraltar,Luxembourg,Gibraltar,24 runs,Gibraltar,"Oct 15, 2023",T20I # 2315
Ghana,Sierra Leone,Ghana,5 runs,Lagos,"Oct 14, 2023",T20I # 2314
Nigeria,Rwanda,Nigeria,8 wickets,Lagos,"Oct 14, 2023",T20I # 2313
Nigeria,Sierra Leone,Nigeria,53 runs,Lagos,"Oct 12, 2023",T20I # 2312
Ghana,Rwanda,Rwanda,9 wickets,Lagos,"Oct 12, 2023",T20I # 2311
Rwanda,Sierra Leone,Rwanda,5 wickets,Lagos,"Oct 11, 2023",T20I # 2310
Nigeria,Ghana,Nigeria,5 wickets,Lagos,"Oct 11, 2023",T20I # 2309
Rwanda,Sierra Leone,Sierra Leone,2 runs,Lagos,"Oct 10, 2023",T20I # 2308
Nigeria,Ghana,Nigeria,82 runs,Lagos,"Oct 10, 2023",T20I # 2307
Ghana,Rwanda,Rwanda,47 runs,Lagos,"Oct 8, 2023",T20I # 2306
Nigeria,Sierra Leone,Nigeria,9 wickets,Lagos,"Oct 8, 2023",T20I # 2305
Bermuda,Canada,Canada,39 runs,Hamilton,"Oct 7, 2023",T20I # 2304
Ghana,Sierra Leone,Ghana,8 wickets,Lagos,"Oct 7, 2023",T20I # 2303
Nigeria,Rwanda,Nigeria,6 wickets,Lagos,"Oct 7, 2023",T20I # 2302
Afghanistan,India,no result,-,Hangzhou,"Oct 7, 2023",T20I # 2301
Bangladesh,Pakistan,Bangladesh,6 wickets,Hangzhou,"Oct 7, 2023",T20I # 2300
Rwanda,Sierra Leone,Rwanda,33 runs,Lagos,"Oct 6, 2023",T20I # 2299
Nigeria,Ghana,Nigeria,35 runs,Lagos,"Oct 6, 2023",T20I # 2298
Afghanistan,Pakistan,Afghanistan,4 wickets,Hangzhou,"Oct 6, 2023",T20I # 2297
Bangladesh,India,India,9 wickets,Hangzhou,"Oct 6, 2023",T20I # 2296
Ghana,Rwanda,tied,-,Lagos,"Oct 5, 2023",T20I # 2295
Gibraltar,Serbia,Gibraltar,7 wickets,Gibraltar,"Oct 5, 2023",T20I # 2294
Kuwait,Saudi Arabia,Kuwait,4 wickets,Doha,"Oct 5, 2023",T20I # 2293
Nigeria,Sierra Leone,Nigeria,63 runs,Lagos,"Oct 5, 2023",T20I # 2292
Gibraltar,Serbia,Gibraltar,7 wickets,Gibraltar,"Oct 5, 2023",T20I # 2291
Qatar,Maldives,Qatar,42 runs,Doha,"Oct 5, 2023",T20I # 2290
Bermuda,Panama,Bermuda,5 wickets,Hamilton,"Oct 4, 2023",T20I # 2289
Ghana,Sierra Leone,Ghana,3 wickets,Lagos,"Oct 4, 2023",T20I # 2288
Canada,Cayman,Canada,166 runs,Hamilton,"Oct 4, 2023",T20I # 2287
Qatar,Saudi Arabia,Saudi Arabia,7 wickets,Doha,"Oct 4, 2023",T20I # 2286
Nigeria,Rwanda,Nigeria,54 runs,Lagos,"Oct 4, 2023",T20I # 2285
Bangladesh,Malaysia,Bangladesh,2 runs,Hangzhou,"Oct 4, 2023",T20I # 2283
Kuwait,Maldives,Kuwait,8 wickets,Doha,"Oct 4, 2023",T20I # 2284
Afghanistan,Sri Lanka,Afghanistan,8 runs,Hangzhou,"Oct 4, 2023",T20I # 2282
Bermuda,Cayman,Bermuda,53 runs,Hamilton,"Oct 3, 2023",T20I # 2281
Canada,Panama,Canada,163 runs,Hamilton,"Oct 3, 2023",T20I # 2280
Hong Kong,Pakistan,Pakistan,68 runs,Hangzhou,"Oct 3, 2023",T20I # 2279
India,Nepal,India,23 runs,Hangzhou,"Oct 3, 2023",T20I # 2278
Maldives,Saudi Arabia,Saudi Arabia,9 wickets,Doha,"Oct 2, 2023",T20I # 2277
Qatar,Kuwait,Kuwait,5 wickets,Doha,"Oct 2, 2023",T20I # 2276
Malaysia,Thailand,Malaysia,194 runs,Hangzhou,"Oct 2, 2023",T20I # 2275
Canada,Cayman,Canada,108 runs,Sandys Parish,"Oct 1, 2023",T20I # 2274
Bermuda,Panama,Bermuda,7 wickets,Sandys Parish,"Oct 1, 2023",T20I # 2273
Kuwait,Saudi Arabia,Saudi Arabia,3 wickets,Doha,"Oct 1, 2023",T20I # 2272
Hong Kong,Japan,Hong Kong,5 wickets,Hangzhou,"Oct 1, 2023",T20I # 2270
Qatar,Maldives,Qatar,9 wickets,Doha,"Oct 1, 2023",T20I # 2271
Maldives,Nepal,Nepal,138 runs,Hangzhou,"Oct 1, 2023",T20I # 2269
Cayman,Panama,Cayman,7 wickets,Sandys Parish,"Sep 30, 2023",T20I # 2268
Gibraltar,Estonia,Estonia,8 wickets,Gibraltar,"Sep 30, 2023",T20I # 2267
Bermuda,Canada,Bermuda,86 runs,Sandys Parish,"Sep 30, 2023",T20I # 2266
Gibraltar,Estonia,Gibraltar,2 wickets,Gibraltar,"Sep 30, 2023",T20I # 2265
Qatar,Saudi Arabia,Saudi Arabia,4 wickets,Doha,"Sep 29, 2023",T20I # 2264
Singapore,Thailand,Singapore,99 runs,Hangzhou,"Sep 29, 2023",T20I # 2262
Kuwait,Maldives,Kuwait,7 wickets,Doha,"Sep 29, 2023",T20I # 2263
Cambodia,Hong Kong,Hong Kong,9 wickets,Hangzhou,"Sep 29, 2023",T20I # 2261
Maldives,Saudi Arabia,Saudi Arabia,62 runs,Doha,"Sep 28, 2023",T20I # 2260
Maldives,Mongolia,Maldives,9 wickets,Hangzhou,"Sep 28, 2023",T20I # 2258
Qatar,Kuwait,Kuwait,7 wickets,Doha,"Sep 28, 2023",T20I # 2259
Malaysia,Singapore,Malaysia,73 runs,Hangzhou,"Sep 28, 2023",T20I # 2257
Cambodia,Japan,Japan,3 wickets,Hangzhou,"Sep 27, 2023",T20I # 2256
Mongolia,Nepal,Nepal,273 runs,Hangzhou,"Sep 27, 2023",T20I # 2255
Hong Kong,P.N.G.,P.N.G.,1 wicket,Kuala Lumpur,"Sep 24, 2023",T20I # 2254
Oman,U.A.E.,Oman,5 wickets,Doha,"Sep 23, 2023",T20I # 2253
Malaysia,P.N.G.,P.N.G.,4 wickets,Kuala Lumpur,"Sep 23, 2023",T20I # 2252
Kuwait,Oman,Oman,68 runs,Doha,"Sep 22, 2023",T20I # 2251
Bahrain,U.A.E.,Bahrain,3 runs,Doha,"Sep 22, 2023",T20I # 2250
Malaysia,Hong Kong,Malaysia,23 runs,Kuala Lumpur,"Sep 22, 2023",T20I # 2249
Qatar,Saudi Arabia,Qatar,7 wickets,Doha,"Sep 21, 2023",T20I # 2248
Hong Kong,P.N.G.,P.N.G.,22 runs,Kuala Lumpur,"Sep 21, 2023",T20I # 2247
Oman,Saudi Arabia,Oman,47 runs,Doha,"Sep 20, 2023",T20I # 2246
Qatar,U.A.E.,U.A.E.,60 runs,Doha,"Sep 20, 2023",T20I # 2245
Malaysia,P.N.G.,P.N.G.,45 runs,Kuala Lumpur,"Sep 20, 2023",T20I # 2244
Bahrain,Oman,Bahrain,1 run,Doha,"Sep 19, 2023",T20I # 2243
Kuwait,U.A.E.,U.A.E.,31 runs,Doha,"Sep 19, 2023",T20I # 2242
Malaysia,Hong Kong,Malaysia,102 runs,Kuala Lumpur,"Sep 19, 2023",T20I # 2241
Bahrain,Saudi Arabia,Bahrain,6 wickets,Doha,"Sep 18, 2023",T20I # 2240
Qatar,Kuwait,Qatar,1 run,Doha,"Sep 18, 2023",T20I # 2239
Saudi Arabia,U.A.E.,U.A.E.,8 wickets,Doha,"Sep 17, 2023",T20I # 2238
Qatar,Oman,Oman,19 runs,Doha,"Sep 17, 2023",T20I # 2237
Bahrain,Kuwait,Kuwait,8 wickets,Doha,"Sep 16, 2023",T20I # 2236
Oman,U.A.E.,U.A.E.,22 runs,Doha,"Sep 16, 2023",T20I # 2235
Qatar,Bahrain,Qatar,19 runs,Doha,"Sep 15, 2023",T20I # 2234
Kuwait,Saudi Arabia,Kuwait,5 wickets,Doha,"Sep 15, 2023",T20I # 2233
England,New Zealand,New Zealand,6 wickets,Nottingham,"Sep 5, 2023",T20I # 2232
England,New Zealand,New Zealand,74 runs,Birmingham,"Sep 3, 2023",T20I # 2231
South Africa,Australia,Australia,5 wickets,Durban,"Sep 3, 2023",T20I # 2230
England,New Zealand,England,95 runs,Manchester,"Sep 1, 2023",T20I # 2229
South Africa,Australia,Australia,8 wickets,Durban,"Sep 1, 2023",T20I # 2228
Rwanda,Tanzania,Tanzania,49 runs,Rwanda,"Aug 31, 2023",T20I # 2227
Rwanda,Uganda,Uganda,8 wickets,Rwanda,"Aug 31, 2023",T20I # 2226
England,New Zealand,England,7 wickets,Chester-le-Street,"Aug 30, 2023",T20I # 2225
South Africa,Australia,Australia,111 runs,Durban,"Aug 30, 2023",T20I # 2224
Rwanda,Tanzania,Tanzania,59 runs,Rwanda,"Aug 30, 2023",T20I # 2223
Tanzania,Uganda,Uganda,19 runs,Rwanda,"Aug 30, 2023",T20I # 2222
Rwanda,Uganda,Uganda,8 wickets,Rwanda,"Aug 28, 2023",T20I # 2221
Tanzania,Uganda,Uganda,59 runs,Rwanda,"Aug 28, 2023",T20I # 2220
Rwanda,Uganda,Uganda,6 wickets,Rwanda,"Aug 27, 2023",T20I # 2219
Rwanda,Tanzania,Tanzania,9 runs,Rwanda,"Aug 27, 2023",T20I # 2218
Tanzania,Uganda,Uganda,19 runs,Rwanda,"Aug 25, 2023",T20I # 2217
Rwanda,Tanzania,Tanzania,1 wicket,Rwanda,"Aug 25, 2023",T20I # 2216
Tanzania,Uganda,Uganda,60 runs,Rwanda,"Aug 24, 2023",T20I # 2215
Rwanda,Uganda,Uganda,86 runs,Rwanda,"Aug 24, 2023",T20I # 2214
Rwanda,Tanzania,Tanzania,7 wickets,Rwanda,"Aug 22, 2023",T20I # 2213
Rwanda,Uganda,Uganda,61 runs,Rwanda,"Aug 22, 2023",T20I # 2212
Tanzania,Uganda,Tanzania,3 wickets,Rwanda,"Aug 21, 2023",T20I # 2211
Rwanda,Tanzania,Rwanda,7 wickets,Rwanda,"Aug 21, 2023",T20I # 2210
Ireland,India,India,33 runs,Dublin (Malahide),"Aug 20, 2023",T20I # 2208
U.A.E.,New Zealand,New Zealand,32 runs,Dubai (DICS),"Aug 20, 2023",T20I # 2209
Tanzania,Uganda,Uganda,6 wickets,Rwanda,"Aug 20, 2023",T20I # 2207
Romania,Malta,Romania,6 runs,Ilfov County,"Aug 20, 2023",T20I # 2206
Rwanda,Uganda,Uganda,40 runs,Rwanda,"Aug 20, 2023",T20I # 2205
Romania,Malta,Romania,9 wickets,Ilfov County,"Aug 20, 2023",T20I # 2204
U.A.E.,New Zealand,U.A.E.,7 wickets,Dubai (DICS),"Aug 19, 2023",T20I # 2203
Romania,Malta,Romania,3 wickets,Ilfov County,"Aug 19, 2023",T20I # 2202
Romania,Malta,Malta,4 wickets,Ilfov County,"Aug 19, 2023",T20I # 2201
Ireland,India,India,2 runs,Dublin (Malahide),"Aug 18, 2023",T20I # 2200
Romania,Malta,Malta,8 wickets,Ilfov County,"Aug 18, 2023",T20I # 2199
U.A.E.,New Zealand,New Zealand,19 runs,Dubai (DICS),"Aug 17, 2023",T20I # 2198
Germany,Guernsey,Guernsey,10 runs,Deventer,"Aug 15, 2023",T20I # 2197
Germany,Guernsey,Guernsey,5 wickets,Deventer,"Aug 14, 2023",T20I # 2196
Germany,Guernsey,Germany,9 wickets,Deventer,"Aug 14, 2023",T20I # 2195
India,West Indies,West Indies,8 wickets,Lauderhill,"Aug 13, 2023",T20I # 2194
India,West Indies,India,9 wickets,Lauderhill,"Aug 12, 2023",T20I # 2193
West Indies,India,India,7 wickets,Providence,"Aug 8, 2023",T20I # 2192
West Indies,India,West Indies,2 wickets,Providence,"Aug 6, 2023",T20I # 2191
Hungary,Croatia,Hungary,7 wickets,Szodliget,"Aug 6, 2023",T20I # 2190
Hungary,Croatia,Hungary,145 runs,Szodliget,"Aug 5, 2023",T20I # 2189
West Indies,India,West Indies,4 runs,Tarouba,"Aug 3, 2023",T20I # 2188
Malaysia,Thailand,Malaysia,7 wickets,Kuala Lumpur,"Aug 1, 2023",T20I # 2187
China,Myanmar,China,5 wickets,Kuala Lumpur,"Jul 31, 2023",T20I # 2186
Bhutan,Thailand,Thailand,8 wickets,Kuala Lumpur,"Jul 31, 2023",T20I # 2185
Malaysia,Myanmar,Malaysia,184 runs,Kuala Lumpur,"Jul 30, 2023",T20I # 2184
Bhutan,China,Bhutan,95 runs,Kuala Lumpur,"Jul 30, 2023",T20I # 2183
P.N.G.,Japan,P.N.G.,6 wickets,Port Moresby,"Jul 29, 2023",T20I # 2182
Philippines,Vanuatu,Vanuatu,3 wickets,Port Moresby,"Jul 29, 2023",T20I # 2181
Scotland,Ireland,Scotland,8 runs,Edinburgh,"Jul 28, 2023",T20I # 2180
Germany,Italy,Italy,4 wickets,Edinburgh,"Jul 28, 2023",T20I # 2178
Denmark,Jersey,Jersey,28 runs,Edinburgh (Golden),"Jul 28, 2023",T20I # 2179
P.N.G.,Philippines,P.N.G.,100 runs,Port Moresby,"Jul 28, 2023",T20I # 2177
Myanmar,Thailand,Thailand,101 runs,Kuala Lumpur,"Jul 28, 2023",T20I # 2176
Japan,Vanuatu,Vanuatu,5 wickets,Port Moresby,"Jul 28, 2023",T20I # 2175
Scotland,Denmark,Scotland,33 runs,Edinburgh,"Jul 27, 2023",T20I # 2174
Malaysia,Bhutan,Malaysia,75 runs,Kuala Lumpur,"Jul 27, 2023",T20I # 2173
China,Thailand,Thailand,9 wickets,Kuala Lumpur,"Jul 27, 2023",T20I # 2172
Bhutan,Myanmar,Bhutan,31 runs,Kuala Lumpur,"Jul 26, 2023",T20I # 2171
Japan,Philippines,Japan,33 runs,Port Moresby,"Jul 26, 2023",T20I # 2170
Malaysia,China,Malaysia,8 wickets,Kuala Lumpur,"Jul 26, 2023",T20I # 2169
P.N.G.,Vanuatu,P.N.G.,39 runs,Port Moresby,"Jul 26, 2023",T20I # 2168
Germany,Jersey,Jersey,51 runs,Edinburgh,"Jul 25, 2023",T20I # 2167
Denmark,Italy,Italy,26 runs,Edinburgh,"Jul 25, 2023",T20I # 2165
Scotland,Austria,Scotland,166 runs,Edinburgh (Golden),"Jul 25, 2023",T20I # 2166
P.N.G.,Japan,P.N.G.,6 wickets,Port Moresby,"Jul 25, 2023",T20I # 2164
Philippines,Vanuatu,Philippines,6 wickets,Port Moresby,"Jul 25, 2023",T20I # 2163
Ireland,Jersey,Ireland,9 wickets,Edinburgh (Golden),"Jul 24, 2023",T20I # 2162
Scotland,Italy,Scotland,155 runs,Edinburgh,"Jul 24, 2023",T20I # 2160
Austria,Denmark,Denmark,8 wickets,Edinburgh (Golden),"Jul 24, 2023",T20I # 2161
Denmark,Germany,Germany,6 wickets,Edinburgh,"Jul 23, 2023",T20I # 2159
Austria,Ireland,Ireland,128 runs,Edinburgh,"Jul 23, 2023",T20I # 2157
Italy,Jersey,Italy,25 runs,Edinburgh (Golden),"Jul 23, 2023",T20I # 2158
P.N.G.,Philippines,P.N.G.,117 runs,Port Moresby,"Jul 23, 2023",T20I # 2156
Japan,Vanuatu,Japan,21 runs,Port Moresby,"Jul 23, 2023",T20I # 2155
P.N.G.,Vanuatu,P.N.G.,9 wickets,Port Moresby,"Jul 22, 2023",T20I # 2154
Japan,Philippines,Japan,53 runs,Port Moresby,"Jul 22, 2023",T20I # 2153
Scotland,Jersey,Scotland,14 runs,Edinburgh,"Jul 21, 2023",T20I # 2152
Denmark,Ireland,Ireland,9 wickets,Edinburgh,"Jul 21, 2023",T20I # 2150
Austria,Germany,Germany,9 wickets,Edinburgh (Golden),"Jul 21, 2023",T20I # 2151
Scotland,Germany,Scotland,72 runs,Edinburgh (Golden),"Jul 20, 2023",T20I # 2149
Austria,Jersey,Jersey,8 wickets,Edinburgh,"Jul 20, 2023",T20I # 2147
Ireland,Italy,Ireland,7 runs,Edinburgh (Golden),"Jul 20, 2023",T20I # 2148
Malta,Switzerland,Switzerland,6 wickets,Marsa,"Jul 16, 2023",T20I # 2146
Bangladesh,Afghanistan,Bangladesh,6 wickets,Sylhet,"Jul 16, 2023",T20I # 2145
Luxembourg,Romania,Romania,7 wickets,Marsa,"Jul 16, 2023",T20I # 2144
Malta,France,Malta,7 wickets,Marsa,"Jul 16, 2023",T20I # 2143
France,Luxembourg,Luxembourg,4 wickets,Marsa,"Jul 15, 2023",T20I # 2142
Malta,Switzerland,Switzerland,6 wickets,Marsa,"Jul 15, 2023",T20I # 2141
Luxembourg,Romania,Luxembourg,7 wickets,Marsa,"Jul 15, 2023",T20I # 2140
France,Switzerland,Switzerland,6 wickets,Marsa,"Jul 14, 2023",T20I # 2139
Bangladesh,Afghanistan,Bangladesh,2 wickets,Sylhet,"Jul 14, 2023",T20I # 2138
Malta,Romania,Malta,41 runs,Marsa,"Jul 14, 2023",T20I # 2137
Luxembourg,Switzerland,Switzerland,8 wickets,Marsa,"Jul 14, 2023",T20I # 2136
France,Romania,France,88 runs,Marsa,"Jul 13, 2023",T20I # 2135
Romania,Switzerland,Switzerland,6 wickets,Marsa,"Jul 13, 2023",T20I # 2134
Malta,Luxembourg,Malta,6 wickets,Marsa,"Jul 13, 2023",T20I # 2133
Malta,France,France,30 runs,Marsa,"Jul 12, 2023",T20I # 2132
France,Luxembourg,France,9 wickets,Marsa,"Jul 12, 2023",T20I # 2131
Malta,Luxembourg,Luxembourg,4 wickets,Marsa,"Jul 12, 2023",T20I # 2130
France,Luxembourg,France,51 runs,Marsa,"Jul 11, 2023",T20I # 2129
Malta,Luxembourg,Malta,42 runs,Marsa,"Jul 11, 2023",T20I # 2128
Isle of Man,Austria,no result,-,Castletown,"Jul 10, 2023",T20I # 2127
Malta,France,Malta,4 runs,Marsa,"Jul 10, 2023",T20I # 2126
Malta,France,France,9 runs,Marsa,"Jul 10, 2023",T20I # 2125
Isle of Man,Austria,Isle of Man,5 wickets,Castletown,"Jul 9, 2023",T20I # 2124
Isle of Man,Austria,Isle of Man,6 wickets,Castletown,"Jul 9, 2023",T20I # 2123
Jersey,Guernsey,Jersey,4 wickets,St Martin,"Jul 8, 2023",T20I # 2122
Jersey,Guernsey,Jersey,7 wickets,St Martin,"Jul 7, 2023",T20I # 2121
Austria,Germany,Germany,8 wickets,Deventer,"Jun 30, 2023",T20I # 2120
Austria,Germany,Germany,6 wickets,Deventer,"Jun 29, 2023",T20I # 2119
Bulgaria,Serbia,no result,-,Sofia,"Jun 25, 2023",T20I # 2118
Luxembourg,Switzerland,Switzerland,8 wickets,Walferdange,"Jun 25, 2023",T20I # 2117
Croatia,Turkey,no result,-,Sofia,"Jun 25, 2023",T20I # 2116
Bulgaria,Turkey,Bulgaria,8 wickets,Sofia,"Jun 24, 2023",T20I # 2115
Croatia,Serbia,Serbia,9 wickets,Sofia,"Jun 24, 2023",T20I # 2114
Luxembourg,Switzerland,Luxembourg,3 wickets,Walferdange,"Jun 24, 2023",T20I # 2113
Croatia,Turkey,Turkey,8 wickets,Sofia,"Jun 24, 2023",T20I # 2112
Bulgaria,Serbia,Serbia,5 wickets,Sofia,"Jun 23, 2023",T20I # 2111
Bulgaria,Croatia,Bulgaria,9 wickets,Sofia,"Jun 23, 2023",T20I # 2110
Serbia,Turkey,Serbia,70 runs,Sofia,"Jun 23, 2023",T20I # 2109
Kenya,Uganda,Uganda,1 run,Nairobi (Gym),"Jun 21, 2023",T20I # 2108
Rwanda,Uganda,Uganda,94 runs,Nairobi (Gym),"Jun 19, 2023",T20I # 2107
Kenya,Botswana,Kenya,6 wickets,Nairobi (Gym),"Jun 19, 2023",T20I # 2106
Kenya,Uganda,Uganda,5 wickets,Nairobi (Gym),"Jun 18, 2023",T20I # 2105
Botswana,Rwanda,Rwanda,7 wickets,Nairobi (Gym),"Jun 18, 2023",T20I # 2104
Kenya,Rwanda,Kenya,7 wickets,Nairobi (Gym),"Jun 17, 2023",T20I # 2103
Botswana,Uganda,Uganda,7 wickets,Nairobi (Gym),"Jun 17, 2023",T20I # 2102
Kenya,Botswana,Botswana,30 runs,Nairobi (Gym),"Jun 15, 2023",T20I # 2101
Rwanda,Uganda,Uganda,7 wickets,Nairobi (Gym),"Jun 15, 2023",T20I # 2100
Kenya,Rwanda,Kenya,7 wickets,Nairobi (Gym),"Jun 14, 2023",T20I # 2099
Botswana,Uganda,Uganda,64 runs,Nairobi (Gym),"Jun 14, 2023",T20I # 2098
Kenya,Uganda,Uganda,47 runs,Nairobi (Gym),"Jun 13, 2023",T20I # 2097
Botswana,Rwanda,Rwanda,27 runs,Nairobi (Gym),"Jun 13, 2023",T20I # 2096
Czech Rep.,Hungary,Czech Rep.,3 wickets,Vinor,"Jun 11, 2023",T20I # 2095
Rwanda,Uganda,Uganda,8 wickets,Nairobi (Gym),"Jun 11, 2023",T20I # 2094
Germany,Belgium,Germany,8 wickets,Krefeld,"Jun 11, 2023",T20I # 2093
Czech Rep.,Hungary,tied,-,Vinor,"Jun 11, 2023",T20I # 2092
Kenya,Botswana,Kenya,8 wickets,Nairobi (Gym),"Jun 11, 2023",T20I # 2091
Germany,Belgium,Germany,4 wickets,Krefeld,"Jun 10, 2023",T20I # 2090
Czech Rep.,Hungary,Czech Rep.,9 runs,Vinor,"Jun 10, 2023",T20I # 2089
Kenya,Uganda,Kenya,88 runs,Nairobi (Gym),"Jun 10, 2023",T20I # 2088
Germany,Belgium,Germany,5 wickets,Krefeld,"Jun 10, 2023",T20I # 2087
Botswana,Rwanda,Botswana,33 runs,Nairobi (Gym),"Jun 10, 2023",T20I # 2086
Germany,Belgium,Germany,6 runs,Krefeld,"Jun 9, 2023",T20I # 2085
Botswana,Uganda,Uganda,6 wickets,Nairobi (Gym),"Jun 9, 2023",T20I # 2084
Kenya,Rwanda,Kenya,3 wickets,Nairobi (Gym),"Jun 9, 2023",T20I # 2083
Botswana,Mozambique,Botswana,7 wickets,Benoni,"Jun 1, 2023",T20I # 2082
